Compound,H2O
MolarMass,18.015
""
Energy_eV,Energy_MeV,mu_m_cm2_g
2.796979851473123,2.796979851473123e-6,0.00006340647677267654
2.8111872727909994,2.8111872727909995e-6,0.00006471067804896978
2.8254668615291725,2.8254668615291722e-6,0.00006604186766892757
2.839818984266238,2.839818984266238e-6,0.00006740060721956815
2.854244009442849,2.854244009442849e-6,0.00006885505555105428
2.8687423073711735,2.8687423073711732e-6,0.00007042351493627564
2.883314250244403,2.8833142502444027e-6,0.00007186436810991396
2.897960212146303,2.897960212146303e-6,0.00007332497497960139
2.912680569060823,2.9126805690608227e-6,0.00007481547700340612
2.927475698881741,2.927475698881741e-6,0.00007633649057632657
2.942345981422372,2.9423459814223717e-6,0.00007788864489924418
2.9572917984253118,2.9572917984253115e-6,0.00007947258224702902
2.9723135335722413,2.9723135335722412e-6,0.00008108895824230215
2.987411572493775,2.987411572493775e-6,0.00008273844213497371
3.002586302779359,3.0025863027793587e-6,0.00008442171708768201
3.017838113987224,3.017838113987224e-6,0.00008607863239463352
3.0331673976543834,3.033167397654383e-6,0.00008765682268781691
3.0485745473066856,3.0485745473066857e-6,0.00008943963752608795
3.064059958468918,3.0640599584689177e-6,0.00009144174148864252
3.0796240286749557,3.0796240286749557e-6,0.00009348898279939045
3.0952671574779744,3.0952671574779744e-6,0.00009558238571976736
3.110989746460699,3.110989746460699e-6,0.00009772299789060562
3.1267921992457204,3.12679219924572e-6,0.00009991189086858092
3.142674921505852,3.142674921505852e-6,0.00010215016067502452
3.158638320974547,3.158638320974547e-6,0.00010443892835738746
3.1746828074563638,3.174682807456364e-6,0.00010654725713832715
3.1908087928374864,3.190808792837486e-6,0.00010862819223732086
3.207016691096299,3.2070166910962992e-6,0.00011079145905020974
3.2233069183140133,3.2233069183140133e-6,0.00011315813980170476
3.2396798926853494,3.239679892685349e-6,0.00011557570260647432
3.2561360345292707,3.2561360345292708e-6,0.00011804524877400834
3.272675766299777,3.272675766299777e-6,0.00012056790361690103
3.289299512596746,3.289299512596746e-6,0.0001231448169777072
3.306007700176837,3.306007700176837e-6,0.00012577716376744637
3.3228007579644423,3.322800757964442e-6,0.00012846614451601034
3.339679117062701,3.339679117062701e-6,0.00013121298593474443
3.3566432107645676,3.3566432107645675e-6,0.0001338847916712324
3.3736934745639306,3.3736934745639306e-6,0.00013641448287563145
3.3908303461667972,3.3908303461667973e-6,0.00013899215783206046
3.4080542655025257,3.4080542655025256e-6,0.00014161873038882466
3.4253656747351227,3.4253656747351226e-6,0.00014445160678007795
3.4427650182745912,3.442765018274591e-6,0.0001478238220873965
3.4602527427883416,3.4602527427883416e-6,0.00015127525997083054
3.4778292972126565,3.4778292972126564e-6,0.0001548077924254901
3.4954951327642174,3.4954951327642172e-6,0.00015842333591519666
3.513250702951686,3.513250702951686e-6,0.00016181131008788282
3.531096463587348,3.531096463587348e-6,0.00016523238465434713
3.549032872798815,3.549032872798815e-6,0.00016872628015523935
3.5670603910407817,3.5670603910407814e-6,0.00017229455628778794
3.5851794811068514,3.585179481106851e-6,0.00017593880634277347
3.603390608141414,3.603390608141414e-6,0.0001796606579317127
3.621694239651587,3.6216942396515872e-6,0.0001836470438154819
3.6400908455192176,3.6400908455192175e-6,0.0001875023395781903
3.658580898012945,3.6585808980129447e-6,0.00019143925785387834
3.677164871800324,3.6771648718003236e-6,0.0001954595421326613
3.695843243960011,3.6958432439600107e-6,0.00019956497348863687
3.714616493994011,3.714616493994011e-6,0.00020375737139761025
3.7334851038399877,3.7334851038399875e-6,0.00020803859457276978
3.7524495578836348,3.7524495578836345e-6,0.00021241054181872162
3.771510342971111,3.771510342971111e-6,0.00021687515290427935
3.7906679484215395,3.7906679484215393e-6,0.00022143440945443418
3.8099228660395656,3.8099228660395656e-6,0.0002256336626685371
3.8292755901279873,3.829275590127987e-6,0.00022986798292139925
3.8487266175004415,3.848726617500441e-6,0.00023418452791834065
3.8682764474941593,3.8682764474941595e-6,0.00023958319550234166
3.887925581982783,3.887925581982783e-6,0.00024510715436454393
3.9076745253892526,3.907674525389253e-6,0.00025075933016045836
3.9275237846987525,3.927523784698752e-6,0.00025654271724380695
3.9474738694717284,3.947473869471729e-6,0.00026246038028772975
3.9675252918569677,3.967525291856968e-6,0.0002685154559444172
